n_trades,n_long,n_short,mean_r,median_r,std_r,min_r,max_r,win_rate,avg_win_r,avg_loss_r,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,mean_bars_held,median_bars_held,mean_t_mfe,median_t_mfe,pct_stop,pct_hmax,pct_end_of_data,expectancy_r,sharpe_r,symbol,timeframe,data_bars,date_start,date_end
1543,772,771,-0.017102910648075297,-0.2944215774622247,3.168877266328922,-36.263206004340226,39.87555922006959,0.047310434219053794,10.865800259207884,-0.5575464013960243,1.8048770934637237,0.46281818354464543,-0.9005677139783062,-0.6022185300491327,14.511341542449774,2.0,8.922877511341543,1.0,0.949449125081011,0.049902786779001944,0.0006480881399870382,-0.017102910648075297,-0.005397151486364968,XAUUSD,4H,25231,2010-01-01 00:00:00+00:00,2025-10-09 12:00:00+00:00
794,380,414,0.17663397685089832,-0.3195902534277849,3.517351952908236,-5.690068202187667,37.18140462248904,0.05289672544080604,12.425904133070157,-0.5075007925124113,1.9615959208178386,0.5235057201877125,-0.8244616318532675,-0.6516822387806864,14.590680100755668,2.0,9.154911838790932,1.0,0.947103274559194,0.05163727959697733,0.0012594458438287153,0.17663397685089832,0.05021788527726174,XAUUSD,8H,13053,2010-01-01 00:00:00+00:00,2025-10-09 08:00:00+00:00
264,148,116,0.3497385513852353,-0.3214295027142134,3.5507158559452696,-3.395557248183563,25.062291880386372,0.07196969696969698,11.667006772482438,-0.5279271473937314,2.0267621630778314,0.524751492562098,-0.8113723473423808,-0.6439407058122666,16.026515151515152,2.0,11.356060606060606,1.0,0.928030303030303,0.06818181818181818,0.003787878787878788,0.3497385513852353,0.09849803971208733,XAUUSD,1D,4906,2010-01-01 00:00:00+00:00,2025-10-09 00:00:00+00:00
64913,32653,32260,-0.06366924169077737,-0.2702702702703042,3.171255152173108,-70.13157894736891,107.50843373494105,0.04127062375795295,10.06645287519146,-0.4997427248531567,1.6989623603538329,0.5329949238578808,-0.9458815953573405,-0.6232294617565478,14.685517538859704,2.0,8.491288339777856,1.0,0.9533067336280868,0.04667786113721443,1.5405234698750637e-05,-0.06366924169077737,-0.020076984864225735,XAGUSD,5min,1097494,2010-01-01 00:00:00+00:00,2025-10-10 03:55:00+00:00
23035,11554,11481,-0.04312599113708354,-0.2631578947369019,2.988584683609525,-85.36344389555435,52.39543726235685,0.0419795962665509,10.297078188682269,-0.4962244795313791,1.6688292035332752,0.5034550839091962,-0.8975017940472382,-0.6032355360570303,13.879965270240938,2.0,8.125157369220751,1.0,0.9546342522248752,0.04536574777512481,0.0,-0.04312599113708354,-0.014430238960134546,XAGUSD,15min,366754,2010-01-01 00:00:00+00:00,2025-10-10 03:45:00+00:00
11707,5827,5880,-0.04506645273256929,-0.25718608169440976,2.9395948641543055,-75.28050896471986,48.01895734597063,0.04262407106859144,10.14774819475959,-0.4988686037941849,1.6319203152391248,0.4642694583523126,-0.8779484884750044,-0.583136327817247,13.579909455881097,2.0,8.22021013069104,1.0,0.9543862646280004,0.04552831639190228,8.541898009737763e-05,-0.04506645273256929,-0.015330838028775266,XAGUSD,30min,183694,2010-01-01 00:00:00+00:00,2025-10-10 03:30:00+00:00
5854,2870,2984,-0.025639518720943662,-0.26160355437725735,2.719762599514648,-15.18668012108984,69.39802991608863,0.040314314998291766,10.42987223109247,-0.4648528994535827,1.5772581715307938,0.4439206033464207,-0.8286521860407995,-0.5845981553118187,13.11206012982576,2.0,7.940382644345746,1.0,0.9588315681585241,0.040997608472839085,0.00017082336863682952,-0.025639518720943662,-0.009427116442265635,XAGUSD,1H,92154,2010-01-01 00:00:00+00:00,2025-10-10 03:00:00+00:00
3016,1487,1529,0.007004448454243356,-0.2614452052423346,2.831365043486599,-21.409070893879285,38.20089168633627,0.046087533156498675,10.200238844919202,-0.48547368192762286,1.699932114967066,0.4500801893209133,-0.8401635153328937,-0.5919566381732201,13.872015915119363,2.0,8.319960212201591,1.0,0.9512599469496021,0.04840848806366048,0.0003315649867374005,0.007004448454243356,0.0024738768568032966,XAGUSD,2H,47827,2010-01-01 00:00:00+00:00,2025-10-10 02:00:00+00:00
1487,772,715,0.05978753073257577,-0.28773072747014583,3.044225791448404,-11.046195652173884,45.2888888888891,0.04774714189643578,10.966165795211495,-0.4870718313987824,1.7985267663844038,0.49691225046675647,-0.8253317307899992,-0.6007905138339965,14.78950907868191,2.0,8.845998655010087,1.0,0.9502353732347008,0.04909213180901143,0.0006724949562878278,0.05978753073257577,0.019639650547776753,XAGUSD,4H,24796,2010-01-01 00:00:00+00:00,2025-10-10 00:00:00+00:00
736,341,395,0.1131116745037565,-0.26294101870139414,3.0009778897411095,-4.578794480755267,28.47638149249605,0.051630434782608696,10.670379918310156,-0.4616393187120647,1.851738450297981,0.5226666870580161,-0.8220387579553193,-0.6131663981328708,15.285326086956522,2.0,9.308423913043478,1.0,0.9456521739130435,0.05298913043478261,0.001358695652173913,0.1131116745037565,0.03769160542316242,XAGUSD,8H,12831,2010-01-01 00:00:00+00:00,2025-10-10 00:00:00+00:00
299,140,159,0.05602157171343759,-0.3321696815825666,3.4493325329937057,-2.7514194348365186,41.59402241594022,0.04013377926421405,13.49185806474974,-0.505755563883899,1.912370571774517,0.45944732813884787,-0.8643442100739649,-0.6964274956322708,13.107023411371237,2.0,6.809364548494983,1.0,0.959866220735786,0.03678929765886288,0.0033444816053511705,0.05602157171343759,0.016241278907608243,XAGUSD,1D,4832,2010-01-01 00:00:00+00:00,2025-10-10 00:00:00+00:00
